model.Room|_id:2|status:Vacant|number:0201|reservations:|description:2
model.Room|_id:3|status:Vacant|number:0202|reservations:|description:3
model.Room|_id:4|status:Vacant|number:0203|reservations:|description:4
model.Room|_id:5|status:Vacant|number:0204|reservations:|description:5
model.Room|_id:6|status:Vacant|number:0205|reservations:|description:6
model.Room|_id:7|status:Vacant|number:0206|reservations:|description:7
model.Room|_id:8|status:Vacant|number:0207|reservations:|description:8
model.Room|_id:9|status:Vacant|number:0301|reservations:|description:9
model.Room|_id:10|status:Vacant|number:0302|reservations:|description:10
model.Room|_id:11|status:Vacant|number:0303|reservations:|description:11
model.Room|_id:12|status:Vacant|number:0304|reservations:|description:12
model.Room|_id:13|status:Vacant|number:0305|reservations:|description:13
model.Room|_id:14|status:Vacant|number:0306|reservations:|description:14
model.Room|_id:15|status:Vacant|number:0307|reservations:|description:15
model.Room|_id:16|status:Vacant|number:0401|reservations:|description:16
model.Room|_id:17|status:Vacant|number:0402|reservations:|description:17
model.Room|_id:18|status:Vacant|number:0403|reservations:|description:18
model.Room|_id:19|status:Vacant|number:0404|reservations:|description:19
model.Room|_id:20|status:Vacant|number:0405|reservations:|description:20
model.Room|_id:21|status:Vacant|number:0406|reservations:|description:21
model.Room|_id:22|status:Vacant|number:0407|reservations:|description:22
model.Room|_id:23|status:Vacant|number:0501|reservations:|description:23
model.Room|_id:24|status:Vacant|number:0502|reservations:|description:24
model.Room|_id:25|status:Vacant|number:0503|reservations:|description:25
model.Room|_id:26|status:Vacant|number:0504|reservations:|description:26
model.Room|_id:27|status:Vacant|number:0505|reservations:|description:27
model.Room|_id:28|status:Vacant|number:0506|reservations:|description:28
model.Room|_id:29|status:Vacant|number:0507|reservations:|description:29
model.Room|_id:30|status:Vacant|number:0601|reservations:|description:30
model.Room|_id:31|status:Vacant|number:0602|reservations:|description:31
model.Room|_id:32|status:Vacant|number:0603|reservations:|description:32
model.Room|_id:33|status:Vacant|number:0604|reservations:|description:33
model.Room|_id:34|status:Vacant|number:0605|reservations:|description:34
model.Room|_id:35|status:Vacant|number:0606|reservations:|description:35
model.Room|_id:36|status:Vacant|number:0607|reservations:|description:36
model.Room|_id:37|status:Vacant|number:0701|reservations:|description:37
model.Room|_id:38|status:Vacant|number:0702|reservations:|description:38
model.Room|_id:39|status:Vacant|number:0703|reservations:|description:39
model.Room|_id:40|status:Vacant|number:0704|reservations:|description:40
model.Room|_id:41|status:Vacant|number:0705|reservations:|description:41
model.Room|_id:42|status:Vacant|number:0706|reservations:|description:42
model.Room|_id:43|status:Vacant|number:0707|reservations:|description:43
model.Room|_id:44|status:Vacant|number:0208|reservations:|description:45
model.Room|_id:45|status:Vacant|number:0308|reservations:|description:46
model.Room|_id:46|status:Vacant|number:0408|reservations:|description:47
model.Room|_id:47|status:Vacant|number:0508|reservations:|description:48
model.Room|_id:48|status:Vacant|number:0608|reservations:|description:49
model.Room|_id:49|status:Vacant|number:0708|reservations:|description:50
